,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Georgia,15,0,1.000,8,0,1.000,41.1,14.3,25.48,6.28,3,1,1,
Tennessee,11,2,.846,6,2,.750,46.1,22.8,17.90,4.98,,2,6,
South Carolina,8,5,.615,4,4,.500,32.2,28.8,7.71,4.17,,20,23,
Kentucky,7,6,.538,3,5,.375,20.4,19.2,6.05,4.74,20,7,,
Florida,6,7,.462,3,5,.375,29.5,28.8,6.92,7.00,,12,,
Missouri,6,7,.462,3,5,.375,24.8,25.2,4.95,4.49,,,,
Vanderbilt,5,7,.417,2,6,.250,24.6,36.0,-1.14,5.11,,,,
Alabama,11,2,.846,6,2,.750,41.1,18.2,19.66,4.58,1,1,5,
LSU,10,4,.714,6,2,.750,34.5,22.5,13.29,6.14,,6,16,
Mississippi State,9,4,.692,4,4,.500,31.6,23.1,11.84,5.30,,16,20,
Ole Miss,8,5,.615,4,4,.500,33.5,25.5,8.36,4.05,21,7,,
Arkansas,7,6,.538,3,5,.375,32.5,30.6,5.95,5.10,19,10,,
Auburn,5,7,.417,2,6,.250,24.8,29.5,3.90,7.40,,,,
Texas A&M,5,7,.417,2,6,.250,22.8,21.2,3.21,3.13,6,6,,
