,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Tulane,10,1,.909,7,0,1.000,27.8,18.5,5.90,-4.19,18,24,17,
SMU,9,2,.818,7,0,1.000,40.3,18.0,8.16,-4.48,,,,
UTSA,8,3,.727,7,0,1.000,33.1,24.3,3.73,-4.82,,,,
Memphis,8,3,.727,5,2,.714,39.2,29.7,5.34,-2.39,,,,
Navy,5,5,.500,4,3,.571,18.7,19.3,-4.29,-5.19,,,,
Rice,5,6,.455,3,4,.429,30.8,27.2,-2.16,-2.61,,,,
South Florida,5,6,.455,3,4,.429,29.3,36.8,-8.33,-3.42,,,,
Florida Atlantic,4,7,.364,3,4,.429,24.0,25.6,-6.20,-3.93,,,,
UAB,4,7,.364,3,4,.429,28.8,36.2,-9.04,-2.04,,,,
North Texas,4,7,.364,2,5,.286,33.5,36.6,-7.05,-4.14,,,,
Charlotte,3,8,.273,2,5,.286,17.8,26.8,-11.13,-2.41,,,,
Temple,3,8,.273,1,6,.143,21.1,34.8,-13.87,-4.33,,,,
Tulsa,3,8,.273,1,6,.143,22.9,34.5,-7.94,-1.58,,,,
East Carolina,2,9,.182,1,6,.143,16.5,21.8,-7.95,-0.31,,,,
