,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Notre Dame,8,3,.727,,,,37.5,16.0,15.69,2.60,17,13,9,
Army,5,6,.455,,,,20.8,22.0,-3.55,-2.55,,,,
Massachusetts,3,8,.273,,,,23.6,38.5,-10.01,0.17,,,,
Connecticut,2,9,.182,,,,18.0,30.9,-11.04,-1.95,,,,
