,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Notre Dame,9,4,.692,,,,31.8,23.0,10.80,3.80,5,5,18,
Liberty,8,5,.615,,,,27.5,24.6,-2.15,-5.30,,19,,
New Mexico State,7,6,.538,,,,25.5,23.9,-8.33,-9.56,,,,
Connecticut,6,7,.462,,,,19.4,26.2,-5.78,-3.09,,,,
Massachusetts,1,11,.083,,,,12.5,31.1,-19.26,-4.34,,,,
BYU,8,5,.615,,,,31.3,29.5,1.98,-0.10,25,12,,
Army,6,6,.500,,,,28.6,22.5,-0.62,-4.62,,,,
